Words,Avg Guesses,Failures
spill,4.328471919895516,254
spilt,4.097953852851545,181
spine,4.1652154984762735,222
spins,4.33848498040923,262
spiny,4.240531127557684,232
spire,4.132999564649543,200
spite,4.134523291249455,203
spits,4.306704397039617,238
splat,4.081628210709622,151
splay,4.203090988245537,201
split,4.098606878537223,179
spoil,4.136047017849369,183
spoke,4.210709621245102,213
spoof,4.381802350892468,221
spook,4.388550282977797,246
spool,4.290378754897692,224
spoon,4.3206356116673925,234
spoor,4.301262516325642,214
spore,4.143665650848933,192
sport,4.097736177622987,168
spots,4.287984327383544,224
spout,4.196343056160209,222
sprat,4.086417065737919,165
spray,4.188506747932085,186
spree,4.286025250326513,236
sprig,4.1922072268175885,182
spuds,4.395298215063126,277
spume,4.212015672616456,194
spunk,4.275576839355681,235
spurn,4.192860252503265,214
spurs,4.344579886808881,263
spurt,4.144318676534611,192
squab,4.440574662603396,289
squad,4.439921636917719,321
squat,4.3996517196343055,314
squaw,4.48933391380061,311
squid,4.502394427514149,360
stabs,4.308445798868089,210
stack,4.224423160644319,193
staff,4.369394862864606,226
stage,4.2205050065302565,249
stags,4.3256421419242495,233
staid,4.179582063561167,221
stain,4.171310404875925,228
stair,4.153678711362647,224
stake,4.228123639529821,247
stale,4.125163256421419,225
stalk,4.177405311275577,198
stall,4.30605137135394,244
stamp,4.107966913365259,132
stand,4.128646060078363,176
stank,4.186112320417936,207
staph,4.1195037004788855,141
stare,4.129734436221158,213
stark,4.209838920330866,219
stars,4.296038310840227,247
start,4.315411406181976,260
stash,4.341314758380497,219
state,4.3576404005224205,302
stats,4.488680888114932,295
stave,4.273400087070091,246
stays,4.400304745319983,276
stead,4.211362646930779,237
steak,4.259904222899434,251
steal,4.1610796691336525,225
steam,4.185676969960818,200
steed,4.35785807575098,284
steel,4.340008707009142,277
steep,4.33848498040923,256
steer,4.342403134523291,273
stein,4.196343056160209,246
stems,4.355028297779713,242
stent,4.363735306922072,270
steps,4.324118415324336,230
stern,4.178493687418372,227
stews,4.408576404005224,270
stick,4.28232477144101,255
sties,4.369612538093165,310
stiff,4.452329124945581,286
stile,4.157596865476709,235
still,4.338702655637788,261
stilt,4.326077492381367,260
sting,4.227470613844145,238
stink,4.260992599042229,244
stint,4.362429255550718,294
stirs,4.31671745755333,256
stoat,4.34697431432303,275
stock,4.23922507618633,215
stoic,4.212886373530692,227
stoke,4.245319982585982,236
stole,4.137135393992164,212
stomp,4.1689159773617765,157
stone,4.154984762734001,226
stony,4.2296473661297345,231
stood,4.330866347409665,261
stool,4.319329560296039,253
stoop,4.320417936438833,222
stops,4.307575097953853,229
store,4.14018284719199,219
stork,4.2109272964736615,219
storm,4.151937309534175,185
story,4.230953417501088,236
stout,4.4449281671745755,331
stove,4.285154549412277,237
stows,4.39638659120592,261
strap,4.10992599042229,171
straw,4.212233347845015,199
stray,4.2104919460165435,234
strep,4.103178058336962,158
strew,4.190465824989116,200
strip,4.1460600783630825,185
strop,4.1377884196778405,183
strum,4.193730953417501,183
strut,4.363517631693513,274
stubs,4.421419242490205,272
stuck,4.309534175010884,260
studs,4.404005224205485,290
study,4.313234653896386,278
stuff,4.474531998258598,302
stump,4.225511536787113,186
stung,4.254897692642578,235
stunk,4.278624292555508,235
stuns,4.3892033086634745,295
stunt,4.402916848062691,294
styes,4.459730082716587,322
style,4.269917283413148,254
styli,4.27579451458424,243
suave,4.3922507618633,320
sucks,4.504135829342621,329
sudsy,4.488463212886374,339
suede,4.443622115803222,328
sugar,4.25642141924249,255
suing,4.32977797126687,295
suite,4.251850239442751,281
suits,4.402916848062691,312
sulks,4.400087070091423,287
sulky,4.337178929037876,282
sully,4.465171963430562,343
sumac,4.239442751414889,217
sumps,4.408576404005224,247
sunny,4.49782324771441,352
sunup,4.420548541575968,274
super,4.197431432303004,229
surer,4.420766216804528,332
surfs,4.422725293861559,302
surge,4.235959947757945,239
surly,4.3027862429255554,279
sushi,4.5505006530256855,359
swabs,4.370265563778842,217
swags,4.392033086634741,256
swain,4.260992599042229,241
swami,4.271005659555943,217
swamp,4.191554201131911,149
swank,4.259468872442316,194
swans,4.366129734436221,241
swaps,4.324336090552895,219
sward,4.195907705703091,193
swarm,4.207226817588158,177
swash,4.456029603831084,280
swath,4.2017849368741835,163
swats,4.3389203308663475,226
sways,4.454941227688289,281
swear,4.237265999129299,224
sweat,4.241184153243361,247
sweep,4.39007400957771,269
sweet,4.4033521985198085,291
swell,4.404222899434044,280
swept,4.181323465389639,186
swift,4.259904222899434,204
swigs,4.45472355245973,306
swill,4.4074880278624295,290
swims,4.424249020461471,262
swine,4.240966478014802,243
swing,4.285807575097954,238
swipe,4.2383543752720945,226
swirl,4.229865041358293,209
swish,4.479756203744014,292
swoon,4.411406181976491,283
swoop,4.38136700043535,241
swops,4.3717892903787545,238
sword,4.1917718763604706,199
swore,4.2246408358728775,223
sworn,4.190683500217675,198
swung,4.346538963865912,250
sylph,4.222464083587288,167
synch,4.278841967784066,214
syncs,4.449934697431432,297
synod,4.252938615585546,250
syrup,4.277535916412712,241
tabby,4.444275141488898,267
table,4.108837614279495,167
taboo,4.33848498040923,239
tabus,4.231824118415324,228
tacit,4.317152808010448,245
tacks,4.249238136700043,212
tacky,4.3023508924684375,227
tacos,4.203526338702655,241
taffy,4.4769264257727475,295
tails,4.1419242490204615,239
taint,4.310622551153679,269
taken,4.216586852416195,250
taker,4.181541140618197,216
takes,4.261427949499347,268
tales,4.122333478450153,219
talks,4.1880713974749675,211
tally,4.391162385720505,280
talon,4.100565955594253,201
tamed,4.158902916848063,213
tamer,4.099912929908577,182
tames,4.166739225076187,217
tamps,4.136700043535046,159
tango,4.194383979103178,212
tangs,4.180017414018285,207
tangy,4.23051806704397,208
tanks,4.220722681758816,232
tansy,4.236830648672181,238
taped,4.139529821506312,203
taper,4.080757509795386,175
tapes,4.144971702220287,213
tapir,4.102960383108402,186
tardy,4.202002612102743,217
tared,4.105137135393992,200
tares,4.120374401393121,226
